"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"14658/97.0284mz/21.70min",0.96942,0.78323,0.74548,0.7312,0.73434,0.75509,0.77972,0.76942
"6672/263.1396mz/9.54min",0.96912,0.8356,0.8149,0.81748,0.88078,0.87076,0.88148,0.87886
"16302/130.1591mz/27.72min",0.96868,0.8525,0.84119,0.82886,0.82696,0.82463,0.81129,0.80119
"6605/291.1736mz/9.36min",0.96821,0.79496,0.75023,0.73585,0.72859,0.72879,0.73483,0.72513
"12713/484.2539mz/16.53min",0.96816,0.80734,0.83439,0.85575,0.88025,0.86821,0.88443,0.87312
"13217/483.2221mz/17.30min",0.96758,1.2496,1.175,1.153,1.1328,1.1142,1.0938,1.0804
"5154/203.1390mz/5.84min",0.96756,0.79207,0.81041,0.7955,0.782,0.769,0.7568,0.74846
"9791/172.1332mz/12.79min",0.96746,0.85792,0.8781,0.89113,0.87912,0.88876,0.87257,0.86694
"5308/180.1019mz/6.23min",0.96647,0.85053,0.80079,0.78527,0.80268,0.78907,0.82838,0.88831
"14709/331.1748mz/21.72min",0.96633,0.7747,0.73223,0.71807,0.71053,0.72632,0.71375,0.70463
"8753/172.0969mz/11.83min",0.96505,1.0215,1.0235,1.0037,0.99852,0.98341,0.96788,0.95689
"16406/130.1591mz/27.88min",0.96418,0.80622,0.82124,0.80532,0.79928,0.79056,0.7763,0.77296
"14901/401.2531mz/22.38min",0.96383,0.81343,0.77046,0.75772,0.74965,0.74645,0.79328,0.78273
"14009/272.2583mz/18.87min",0.96362,0.84631,0.80127,0.79065,0.78902,0.77991,0.7658,0.7557
"18262/607.2909mz/29.54min",0.96351,1.9679,1.9352,1.905,1.8852,1.8539,1.8234,1.8185
"11602/717.3165mz/14.98min",0.96278,1.8572,1.746,1.7149,1.6885,1.6612,1.6583,1.6381
"14724/127.1118mz/21.73min",0.96232,0.77391,0.72861,0.71483,0.70552,0.72925,0.71673,0.71054
"3507/558.2172mz/2.22min",0.96158,0.80632,0.76705,0.76219,0.75858,0.80057,0.79167,0.7965
"2475/217.1287mz/1.75min",0.96071,0.77858,1.0956,1.1439,1.1274,1.1339,1.1345,1.1221
"5417/538.1268mz/6.59min",0.95986,0.84465,0.89309,0.90033,0.89054,0.90578,0.88972,0.88761
"14256/127.1117mz/20.37min",0.95982,0.7692,0.74169,0.72738,0.71835,0.74531,0.73228,0.72257
"5687/61.0087mz/7.77min",0.95947,1.8393,1.7423,1.7849,1.7663,1.7369,1.7051,1.7088
"14118/404.2064mz/19.46min",0.95826,0.82594,0.80663,0.79203,0.77986,0.76845,0.75534,0.74794
"12396/523.3110mz/16.22min",0.958,0.82396,0.8623,0.84859,0.8352,0.82921,0.82861,0.86693
"8982/267.1800mz/12.04min",0.95787,0.77214,0.7338,0.7236,0.72151,0.70947,0.74645,0.73654
"14261/623.2925mz/20.37min",0.9578,0.7698,0.72703,0.71529,0.70943,0.71574,0.70485,0.6966
"3839/325.2383mz/2.59min",0.95742,1.1138,1.0839,1.0696,1.1066,1.0978,1.0797,1.0947
"9064/413.2167mz/12.08min",0.95735,1.3235,1.2623,1.2401,1.2188,1.1984,1.1817,1.1675
"14280/283.1901mz/20.35min",0.95675,1.0716,1.0219,1.0058,0.99601,0.99557,0.98227,0.96931
"11809/203.1794mz/15.33min",0.95665,1.4233,1.338,1.3121,1.2909,1.2698,1.2469,1.2304
"10359/127.0389mz/13.52min",0.95655,0.788,0.742,0.73319,0.73032,0.76867,0.75456,0.74707
"6041/395.1185mz/8.52min",0.95602,0.94195,0.92557,1.0614,1.048,1.0461,1.0293,1.0238
"18305/130.1590mz/29.67min",0.95592,0.80728,0.81552,0.80064,0.78735,0.77425,0.76287,0.76287
"3134/172.0968mz/2.10min",0.95564,0.89616,0.93153,0.93246,0.93471,0.91894,0.9381,0.92621
"14707/223.1328mz/21.72min",0.95499,0.76607,0.72216,0.70817,0.70061,0.71629,0.70374,0.6945
"5822/637.2418mz/8.14min",0.95474,0.8039,1.1603,1.2028,1.2422,1.2212,1.2107,1.2001
"15446/415.2688mz/23.88min",0.95448,1.0096,0.9717,0.95928,0.946,0.95976,0.94449,0.93463
"4468/59.0131mz/3.95min",0.95412,0.76697,0.78618,0.77169,0.75964,0.76807,0.75509,0.83744
"15250/471.2353mz/23.52min",0.95377,0.85199,0.80208,0.78657,0.79578,0.79845,0.85531,0.85845
"3711/678.1802mz/2.33min",0.95296,0.805,0.88969,0.87773,0.87887,0.87745,0.89576,0.88566
"14121/387.1799mz/19.46min",0.95272,0.83009,0.80576,0.79041,0.77664,0.76551,0.75789,0.74906
"14528/645.3086mz/20.79min",0.95246,0.76326,0.72305,0.71091,0.71915,0.7279,0.72117,0.75715
"5399/180.1018mz/6.48min",0.9516,0.81594,0.76875,0.75766,0.8232,0.80994,0.80615,0.79679
"11417/466.6727mz/14.71min",0.95128,0.89111,0.84067,0.84005,0.82753,0.82723,0.81291,0.80211
"3607/139.0025mz/2.24min",0.95127,0.77318,0.72731,0.73982,0.75421,0.75484,0.75139,0.74143
"14361/127.1117mz/20.39min",0.95089,0.76364,0.78227,0.76732,0.75691,0.78986,0.77837,0.76805
"3249/428.2123mz/2.19min",0.95077,0.84936,0.80867,0.79375,0.78045,0.78131,0.78239,0.77255
"8351/432.2800mz/11.38min",0.95014,0.86746,0.82558,0.80991,0.79794,0.78686,0.77671,0.76647
"4207/103.0542mz/3.39min",0.94858,0.81825,0.84361,0.84518,0.83838,0.82452,0.87222,0.86071
"3040/431.2384mz/2.04min",0.94852,0.7818,0.7368,0.73536,0.80596,0.7987,0.80975,0.80512
"14433/487.2898mz/20.51min",0.9479,0.80891,0.9181,0.90079,0.91478,0.92619,0.90921,0.89932
"14703/271.1538mz/21.71min",0.94786,0.76153,0.7197,0.70574,0.698,0.71386,0.70091,0.69165
"18434/130.1591mz/29.96min",0.94719,0.76709,0.75627,0.74219,0.73127,0.73199,0.72586,0.72344
"10073/231.0498mz/13.15min",0.94688,0.7951,0.78797,0.7731,0.75957,0.74698,0.73619,0.72697
"14910/401.2530mz/22.38min",0.94664,0.77855,0.73205,0.71943,0.71106,0.72069,0.71145,0.70372
"2991/288.1187mz/1.98min",0.94655,0.8031,0.76876,0.77005,0.87423,0.86885,0.87656,0.87692
"5117/286.1395mz/5.67min",0.94622,0.87198,1.0827,1.0618,1.0436,1.0307,1.0139,1.0081
"15667/201.1637mz/25.13min",0.94562,1.6323,1.6692,1.6664,1.6439,1.6165,1.5892,1.5698
"12994/541.1759mz/17.02min",0.94532,1.1043,1.069,1.0586,1.0422,1.0268,1.0207,1.015
"14097/432.2377mz/19.44min",0.94468,0.79362,0.74872,0.73587,0.72299,0.71203,0.71702,0.70754
"14809/347.1349mz/21.96min",0.94453,0.75902,0.71404,0.70553,0.69661,0.70035,0.70707,0.70168
"5065/286.1395mz/5.55min",0.94365,0.7807,0.83144,0.81995,0.8056,0.8309,0.81666,0.81111
"11556/205.0891mz/14.96min",0.94273,0.7638,0.71824,0.72629,0.72738,0.71538,0.71762,0.70825
"2184/149.1073mz/1.62min",0.94262,1.4461,1.3602,1.3365,1.3132,1.2914,1.2707,1.2539
"12544/523.3110mz/16.32min",0.94217,0.8306,0.7859,0.77587,0.76442,0.75418,0.74935,0.73946
"10908/233.1535mz/13.98min",0.9418,1.2839,1.2125,1.1891,1.1685,1.1495,1.1299,1.1151
"4247/131.0492mz/3.44min",0.9409,0.79459,0.77239,0.77243,0.75924,0.78254,0.77142,0.76682
"5982/485.2128mz/8.40min",0.93991,1.4312,1.3885,1.5541,1.7282,1.7887,1.8684,1.8436
"12756/497.2015mz/16.64min",0.93958,1.5996,1.506,1.4774,1.4533,1.4517,1.4373,1.4285
"11585/309.0995mz/14.97min",0.93925,0.84881,0.80952,0.79525,0.79521,0.78549,0.772,0.76178
"5775/207.0684mz/8.06min",0.93918,0.7576,0.81024,0.82102,0.80883,0.86601,0.861,0.85171
"5187/286.1395mz/5.86min",0.93895,0.78913,0.85092,0.83517,0.83331,0.82611,0.81198,0.80284
"15074/95.0855mz/22.82min",0.93858,1.611,1.6013,1.5704,1.5595,1.5354,1.508,1.4882
"16339/130.1591mz/27.80min",0.93835,0.75461,0.79615,0.79779,0.78414,0.77762,0.77034,0.76541
"7790/442.2070mz/10.67min",0.93773,0.90163,0.86979,0.90662,0.90935,0.89609,0.88505,0.87631
"9868/540.2366mz/12.87min",0.93762,1.886,1.948,1.9432,1.9096,1.8881,1.8995,1.8743
"15058/83.0856mz/22.82min",0.93699,1.6933,1.6643,1.6373,1.6329,1.6083,1.5833,1.5624
"5967/205.0971mz/8.37min",0.93649,0.95148,0.95245,0.93453,0.93108,0.91723,0.90398,0.89205
"15285/471.2353mz/23.54min",0.93599,0.85592,0.83764,0.82164,0.80762,0.79896,0.78751,0.77706
"13019/1009.4836mz/17.02min",0.93533,0.99542,0.98455,0.9655,0.95967,0.9444,0.9397,0.94419
"5470/538.1268mz/6.75min",0.93335,0.78696,0.85821,0.85189,0.85462,0.84063,0.85979,0.84995
"14879/436.2901mz/22.36min",0.93329,0.78609,0.79889,0.78583,0.80231,0.84011,0.82763,0.83706
"9879/263.1123mz/12.88min",0.93302,0.8167,0.76779,0.75428,0.75338,0.76983,0.75574,0.75653
"14076/172.1696mz/19.35min",0.93279,0.77032,0.78686,0.78007,0.77932,0.77405,0.78988,0.77944
"9201/547.3321mz/12.21min",0.93275,0.87567,0.82452,0.8217,0.81109,0.82945,0.81448,0.8129
"2866/212.0585mz/1.87min",0.93213,0.7615,0.76479,0.75251,0.75568,0.74472,0.73113,0.7229
"6072/229.1546mz/8.51min",0.93195,0.78895,0.89747,0.88546,0.89423,0.88819,0.87914,0.86897
"14608/387.2374mz/21.46min",0.93005,0.75255,0.76064,0.74588,0.74239,0.73465,0.78555,0.79848
"5457/348.0701mz/6.71min",0.92927,0.74707,0.70779,0.71699,0.72909,0.76284,0.87198,0.92587
"5330/348.0702mz/6.28min",0.92924,0.75553,0.73519,0.79196,0.77889,0.77085,0.75671,0.85952
"5897/229.1546mz/8.29min",0.92815,0.74464,0.97565,0.95826,0.95801,0.99839,0.98567,0.98176
"9176/355.1281mz/12.15min",0.92809,0.77029,0.77574,0.76279,0.7522,0.7537,0.74988,0.74954
"18441/130.1591mz/29.98min",0.92779,0.74367,0.75311,0.73854,0.72562,0.76213,0.74952,0.75672
"15425/271.1539mz/23.88min",0.92709,0.99891,0.96063,0.94241,0.926,0.91448,0.89887,0.90166
"15427/253.1431mz/23.89min",0.92672,0.83542,0.78574,0.81009,0.79605,0.81099,0.8796,0.88193
"15149/324.2530mz/23.04min",0.92581,1.5778,1.4849,1.457,1.4364,1.4137,1.388,1.3702
"3707/291.0839mz/2.30min",0.92578,0.87289,0.82729,0.83745,0.82973,0.84656,0.84381,0.83283
"14160/223.1328mz/19.70min",0.92505,0.74185,0.75761,0.74549,0.73511,0.74883,0.75222,0.74361
"5168/100.0756mz/5.80min",0.92505,0.83392,0.79219,0.77718,0.79311,0.97982,0.99543,0.98283
"6106/229.1546mz/8.59min",0.92502,0.77729,0.79078,0.77678,0.81014,0.80203,0.79368,0.78316
"14525/640.3533mz/20.76min",0.92494,0.75516,0.73414,0.72015,0.7089,0.71347,0.70662,0.70152
"15828/801.3295mz/26.27min",0.92475,1.2357,1.2644,1.2468,1.2266,1.2433,1.2271,1.2113
"4503/59.0130mz/4.04min",0.92473,0.80945,0.77862,0.76972,0.77037,0.76193,0.77702,0.81136
"12530/293.2109mz/16.32min",0.92279,0.80372,0.85247,1.0067,1.0073,1.0034,0.98534,0.98463
"13033/563.3574mz/17.02min",0.92215,1.0431,1.0114,0.99253,0.98677,0.97027,0.95347,0.94916
"4337/131.0492mz/3.56min",0.92154,0.7843,0.75521,0.74076,0.74504,0.7331,0.73,0.72031
"4345/247.1287mz/3.64min",0.92019,0.74643,0.7228,0.73568,0.73528,0.74402,0.74591,0.73615
"15288/450.3059mz/23.55min",0.91991,0.91875,0.8828,0.88557,0.87728,0.89286,0.88604,0.88052
"6565/445.1384mz/9.36min",0.91979,0.87865,0.87017,0.85349,0.87531,0.87128,0.88116,0.86946
"18491/130.1590mz/30.13min",0.91908,0.74337,0.77293,0.76876,0.78614,0.78508,0.81536,0.81574
"14664/187.0600mz/21.69min",0.91874,0.7754,0.72925,0.71565,0.70892,0.73581,0.7223,0.71286
"15599/403.2800mz/24.47min",0.91826,0.77847,0.90312,0.91205,0.89813,0.91252,0.89577,0.88496
"10190/319.1379mz/13.28min",0.91813,0.73618,0.73385,0.7213,0.71033,0.70509,0.71179,0.70395
"11811/469.2427mz/15.33min",0.91802,1.5355,1.4458,1.4368,1.4131,1.4173,1.3914,1.3729
"9071/251.1640mz/12.08min",0.91779,1.2836,1.2092,1.1899,1.1693,1.1497,1.1318,1.1168
"7192/608.3034mz/10.10min",0.91763,0.9017,0.85866,0.85186,0.84289,0.82979,0.82317,0.81283
"9305/373.0889mz/12.33min",0.91761,0.736,0.74665,0.755,0.78383,0.77585,0.76198,0.75832
"11846/462.2694mz/15.44min",0.91724,0.73646,0.78742,0.81807,0.80479,0.79479,0.83751,0.9072
"5964/188.0706mz/8.37min",0.91721,0.99874,0.98923,0.97427,0.96828,0.95542,0.93859,0.92611
"8279/549.3166mz/11.28min",0.91669,0.80694,0.76297,0.7716,0.75841,0.74585,0.73307,0.72366
"10572/462.1181mz/13.64min",0.91654,0.84929,1.204,1.1863,1.1932,1.2129,1.2238,1.2096
"12142/411.1130mz/15.84min",0.91514,1.1857,1.133,1.1133,1.1161,1.1004,1.0955,1.081
"6855/432.1069mz/9.74min",0.91502,0.79125,0.77009,0.77628,0.78214,0.79414,0.79055,0.79015
"11706/235.1691mz/15.17min",0.91498,1.3389,1.2688,1.2476,1.2258,1.2089,1.1868,1.1715
"11197/179.1066mz/14.35min",0.91449,0.74394,0.74943,0.74779,0.73613,0.72584,0.7143,0.71117
"14745/666.8031mz/21.73min",0.9143,0.74583,0.70926,0.70293,0.69766,0.69614,0.71837,0.70955
"3577/332.5618mz/2.22min",0.914,0.92391,0.94354,0.9306,0.93187,0.91883,0.90662,0.89676
"4194/468.1279mz/3.39min",0.91303,0.74342,0.7429,0.77762,0.7641,0.84425,0.83666,0.82811
"7797/476.1914mz/10.68min",0.91182,0.80494,0.78021,0.76563,0.75711,0.7572,0.81161,0.80474
"15241/253.1432mz/23.51min",0.9118,0.86599,0.84195,0.85535,0.84046,0.83871,0.83205,0.82224
"13005/417.2996mz/17.02min",0.91136,1.0475,1.016,0.99749,0.99904,0.9827,0.96877,0.96391
"14278/537.3278mz/20.36min",0.91129,0.7302,0.74254,0.73799,0.72535,0.71325,0.71724,0.70772
"14959/415.1957mz/22.56min",0.91109,0.73873,1.157,1.1405,1.1427,1.1345,1.1153,1.1116
"3868/251.1386mz/2.62min",0.91088,0.9476,0.95393,0.97738,0.99268,0.97584,0.95926,0.98281
"5842/355.1020mz/8.09min",0.91064,0.76362,0.85297,0.86316,0.87103,0.85637,0.84402,0.84328
"4071/149.0597mz/3.26min",0.91053,0.78103,0.83568,0.82026,0.81068,0.808,0.79516,0.78833
"8459/569.3202mz/11.45min",0.9105,1.0408,0.97973,0.96757,0.95348,0.95481,0.95723,1.0125
"11297/503.1909mz/14.51min",0.90995,0.96402,1.5388,1.5676,1.5402,1.5503,1.5295,1.5161
"9267/386.1965mz/12.28min",0.90935,0.73637,0.73687,0.72294,0.71692,0.71512,0.73986,0.73314
"1404/146.1651mz/1.27min",0.9081,0.94378,0.88847,0.87576,0.86625,0.85324,0.84281,0.83364
"10196/481.2064mz/13.27min",0.90763,1.2855,1.2349,1.2195,1.1984,1.1782,1.162,1.1473
"9962/263.1123mz/12.93min",0.90669,0.72688,0.69035,0.67913,0.67233,0.66118,0.65067,0.64208
"12697/411.1131mz/16.53min",0.90664,1.2433,1.2514,1.2454,1.2241,1.215,1.1982,1.1862
"10749/603.2431mz/13.79min",0.90647,0.7401,0.77649,0.76839,0.75623,0.74543,0.73642,0.72925
"13015/435.3101mz/17.02min",0.90595,1.0546,1.0094,0.99315,0.98188,0.96689,0.95857,0.9565
"5393/355.1020mz/6.53min",0.90486,0.75911,0.72688,0.72941,0.72786,0.79844,0.87387,0.8727
"11981/483.2218mz/15.64min",0.90392,1.3313,1.2522,1.228,1.2093,1.1891,1.1678,1.153
"15386/201.1637mz/23.78min",0.90349,1.7152,1.6667,1.6344,1.6284,1.6057,1.5831,1.5626
"14725/253.1432mz/21.71min",0.90323,0.7505,0.70983,0.69607,0.71952,0.71796,0.75686,0.81447
"14187/289.1643mz/19.92min",0.90312,0.73715,0.75544,0.74079,0.74243,0.75434,0.74639,0.73719
"1865/462.0765mz/1.50min",0.90206,1.0659,1.0303,1.0626,1.0579,1.0447,1.042,1.0281
"11450/610.1844mz/14.76min",0.90194,0.76438,0.7288,0.75675,0.74353,0.73229,0.71891,0.71855
"8041/376.1601mz/10.98min",0.90169,0.78037,0.95561,1.0004,1.0003,0.98902,0.9875,0.97504
"12124/216.1957mz/15.79min",0.90148,0.74019,0.73234,0.7242,0.71912,0.74987,0.73984,0.73128
"14190/223.1328mz/19.93min",0.90135,0.76741,0.73454,0.72142,0.73314,0.76053,0.74736,0.7375
"14307/463.3640mz/20.37min",0.90134,0.84534,0.82223,0.85963,0.84564,0.83332,0.82278,0.87882
"10199/499.2170mz/13.28min",0.90063,1.207,1.1467,1.137,1.1177,1.0988,1.0826,1.0684
"12063/393.0972mz/15.68min",0.89964,0.87528,0.90395,0.91377,0.8983,0.88865,0.87241,0.86087
"4589/355.1019mz/4.28min",0.89952,0.72084,0.69631,0.68288,0.68825,0.68475,0.67326,0.66681
"13031/293.1229mz/17.02min",0.8993,0.99969,0.96986,0.95327,0.94733,0.93138,0.91769,0.91318
"10228/217.1585mz/13.29min",0.8989,1.6824,1.5825,1.5518,1.5274,1.5015,1.4807,1.4636
"12026/483.2218mz/15.64min",0.89859,1.4901,1.4041,1.3771,1.3556,1.3392,1.3252,1.3086
"12605/541.2640mz/16.42min",0.89857,0.72661,0.68838,0.6869,0.67548,0.73104,0.71766,0.71012
"9406/608.3846mz/12.43min",0.89846,0.90748,0.85312,0.84725,0.83277,0.82394,0.81046,0.80124
"9111/398.1993mz/12.12min",0.89765,1.39,1.315,1.2934,1.2775,1.263,1.2441,1.2275
"8631/476.3063mz/11.69min",0.89741,0.8689,0.82166,0.80707,0.79475,0.78467,0.77127,0.76135
"4095/131.0492mz/3.27min",0.89654,0.7645,0.83014,0.8143,0.80052,0.79982,0.79078,0.78038
"11729/267.0861mz/15.20min",0.89632,0.86238,0.82948,0.84947,0.85071,0.83758,0.82876,0.81781
"4262/103.0542mz/3.44min",0.89599,0.82373,0.7951,0.78115,0.78346,0.77193,0.75827,0.75379
"8304/199.1480mz/11.31min",0.89547,1.3261,1.2514,1.2275,1.2061,1.1869,1.1652,1.1506
"9283/391.0788mz/12.28min",0.89532,0.72803,0.78492,0.81253,0.79871,0.80686,0.80977,0.80333
"5118/286.1395mz/5.69min",0.89405,0.81019,0.86882,0.85199,0.83944,0.83943,0.82424,0.8157
"16609/130.1591mz/28.17min",0.89386,0.72592,0.80707,0.81354,0.80026,0.79675,0.79124,0.78468
"14673/666.8031mz/21.70min",0.89338,0.71581,0.67898,0.66751,0.71409,0.70203,0.71254,0.70466
"15114/401.2531mz/22.82min",0.89276,0.87308,0.82098,0.80717,0.79506,0.80142,0.80954,0.81362
"8986/284.2066mz/12.05min",0.8915,0.73392,0.696,0.68665,0.69896,0.69213,0.7056,0.69882
"15004/317.1511mz/22.81min",0.89127,1.2654,1.2567,1.2367,1.233,1.2157,1.2128,1.1967
"14668/983.9713mz/21.70min",0.89053,0.72289,0.67959,0.67139,0.66559,0.67939,0.66711,0.66909
"2524/472.2021mz/1.76min",0.89003,1.1745,1.1638,1.1471,1.1933,1.1914,1.2397,1.2262
"13206/461.0928mz/17.28min",0.88954,0.81102,0.99891,0.98049,0.96342,0.94726,0.93082,0.92127
"8917/520.3324mz/11.97min",0.88908,0.89765,0.84407,0.83134,0.82182,0.81734,0.80601,0.79537
"13032/743.4204mz/17.02min",0.88886,0.98318,0.9601,0.94225,0.93725,0.92213,0.9095,0.90492
"3620/437.9724mz/2.27min",0.88865,0.71202,0.7332,0.79296,0.84063,0.85635,0.84195,0.85225
"5409/538.1268mz/6.55min",0.88794,0.73652,0.78727,0.79441,0.83687,0.82364,0.8167,0.80784
"15076/145.1011mz/22.83min",0.88749,1.461,1.4762,1.4479,1.4447,1.4219,1.3963,1.3778
"13229/521.2953mz/17.33min",0.88732,0.75442,0.72296,0.71108,0.77751,0.76457,0.76124,0.77284
"8632/459.2797mz/11.69min",0.8873,0.82405,0.782,0.76736,0.7566,0.75181,0.74172,0.732
"3601/129.0182mz/2.25min",0.88633,0.71514,0.67247,0.67381,0.70609,0.70363,0.71228,0.70688
"18386/130.1591mz/29.83min",0.88624,0.71456,0.79655,0.8016,0.78796,0.77713,0.76978,0.76183
"6347/660.1696mz/9.05min",0.88618,0.71047,0.68801,0.67474,0.67758,0.66899,0.76739,0.75728
"10157/415.2323mz/13.22min",0.88595,1.5907,1.5317,1.51,1.5042,1.481,1.4746,1.4582
"14641/682.4002mz/21.67min",0.88592,0.70984,0.72076,0.71844,0.75275,0.75084,0.73785,0.73475
"15272/415.2688mz/23.54min",0.88362,0.93853,0.92013,0.90958,0.89488,0.89351,0.87771,0.86642
"13308/743.4204mz/17.58min",0.88148,1.2698,1.2748,1.2636,1.2429,1.2232,1.213,1.2006
"2618/240.1493mz/1.80min",0.88114,0.77163,0.74357,0.75985,0.74674,0.75565,0.7635,0.75348
"15102/377.1634mz/22.83min",0.88103,2.0344,1.97,1.9375,1.9646,1.9317,1.9116,1.8965
"10951/387.1434mz/14.03min",0.88056,0.93052,0.87937,0.92077,0.90492,0.91578,0.93351,0.92698
"15139/301.1771mz/22.98min",0.87935,1.4731,1.4343,1.4118,1.4388,1.4207,1.4265,1.4103
"20686/342.0031mz/34.78min",0.87933,0.74568,1.2341,1.2979,1.276,1.2561,1.4261,1.4208
"8789/507.7573mz/11.87min",0.87921,0.98129,0.95778,0.96561,0.95423,0.95519,0.99396,0.98502
"15398/201.1637mz/23.83min",0.87895,1.6551,1.5956,1.5648,1.5432,1.5286,1.5045,1.4854
"14385/757.4471mz/20.40min",0.8783,0.70791,0.71814,0.7258,0.74417,0.73168,0.76117,0.75205
"13795/240.2321mz/18.30min",0.87747,0.70569,0.72527,0.72376,0.75531,0.8005,0.88283,0.87258
"7007/392.1912mz/9.92min",0.87735,0.73772,0.83865,0.82504,0.81206,0.80028,0.78586,0.77741
"3790/303.0841mz/2.38min",0.87716,0.74106,0.7509,0.74234,0.81812,0.84502,0.83338,0.84266
"10729/249.0603mz/13.71min",0.87702,0.70405,0.66854,0.65652,0.64923,0.65913,0.65433,0.64563
"3560/278.6071mz/2.24min",0.87543,0.87041,0.83547,0.82179,0.81057,0.80567,0.79205,0.78214
"9646/640.1802mz/12.66min",0.87504,1.848,1.7379,1.7229,1.6938,1.6655,1.6356,1.6139
"14427/233.1898mz/20.50min",0.87438,0.76097,0.90265,0.88529,0.87837,0.90121,0.88647,0.8767
"6997/217.1547mz/9.92min",0.8742,0.72288,0.69222,0.68387,0.67239,0.66109,0.64898,0.64035
"12849/625.2545mz/16.80min",0.87404,1.3148,1.237,1.2143,1.2402,1.2251,1.2938,1.2795
"11021/485.2377mz/14.13min",0.87393,1.2316,1.1595,1.1402,1.121,1.2021,1.1861,1.1753
"5878/637.2418mz/8.15min",0.87279,0.73112,1.0191,1.0449,1.1005,1.0819,1.0959,1.0821
"12754/411.1131mz/16.57min",0.87252,0.89491,0.86183,0.86522,0.85296,0.84331,0.84808,0.8368
"14957/436.2901mz/22.47min",0.87212,0.71446,0.67557,0.67692,0.67591,0.72499,0.74213,0.73732
"5349/286.1395mz/6.29min",0.8713,0.77795,0.78358,0.78153,0.77002,0.75698,0.74326,0.74017
"9056/93.0698mz/12.07min",0.87088,0.70293,0.67321,0.6651,0.66466,0.66107,0.66793,0.65912
"10906/395.2061mz/13.97min",0.87088,1.4852,1.3987,1.3722,1.35,1.3275,1.3063,1.289
"5888/355.1020mz/8.17min",0.86963,0.74748,0.87509,0.90678,0.92307,0.90748,0.89228,0.88122
"15003/401.2531mz/22.70min",0.8694,0.7809,0.75733,0.74867,0.744,0.76343,0.75543,0.75662
"7058/352.1866mz/9.96min",0.86923,0.73732,0.69454,0.70569,0.7164,0.70427,0.69137,0.76422
"5903/132.0808mz/8.31min",0.86911,0.69826,0.75499,0.75613,0.74685,0.7361,0.72764,0.71834
"7466/639.3218mz/10.39min",0.86899,1.016,1.0025,1.0944,1.0833,1.0679,1.0763,1.0631
"14882/257.1381mz/22.38min",0.86897,0.70527,0.67739,0.66434,0.68025,0.70102,0.73545,0.72715
"5768/229.1546mz/8.07min",0.86893,0.71056,0.74703,0.73324,0.79911,0.79169,0.77958,0.76946
"7428/281.1547mz/10.33min",0.86881,0.76816,0.83299,0.83109,0.82753,0.81354,0.80439,0.79737
"14397/346.6428mz/20.42min",0.86873,0.70073,0.6589,0.64841,0.6617,0.66209,0.65345,0.65833
"13029/581.3678mz/17.02min",0.86831,1.0337,1.0031,0.98627,0.98452,0.96814,0.9577,0.95137
"5475/355.1020mz/6.79min",0.86793,0.69797,0.70073,0.70515,0.69583,0.69832,0.70363,0.72474
"11298/341.1378mz/14.51min",0.86775,0.70346,0.90889,0.92998,0.91523,0.9898,0.98301,1
"13002/271.2417mz/17.02min",0.86672,0.98224,0.95323,0.9357,0.93323,0.91862,0.90612,0.90141
"5230/220.0637mz/6.05min",0.86664,0.69781,0.65651,0.65914,0.65797,0.66876,0.6565,0.6482
"7040/523.2647mz/9.94min",0.866,0.69387,0.70255,0.72456,0.71696,0.71776,0.72536,0.71652
"2258/313.1424mz/1.64min",0.86524,0.85051,0.83581,0.82694,0.81532,0.8279,0.81323,0.8037
"14311/612.3585mz/20.36min",0.86507,0.69338,0.65588,0.6444,0.63326,0.62625,0.61527,0.60913
"15324/271.1538mz/23.57min",0.86486,0.83469,0.82213,0.81684,0.80772,0.806,0.81278,0.80211
"12722/502.2645mz/16.54min",0.86387,0.82917,0.84397,0.83129,0.83165,0.82919,0.82897,0.8224
"5727/355.1020mz/7.93min",0.86278,0.70668,0.69249,0.67926,0.66892,0.65802,0.65156,0.64309
"5843/615.2604mz/8.16min",0.86276,0.72699,1.0544,1.0946,1.1278,1.1088,1.0971,1.0842
"13796/343.2953mz/18.30min",0.86261,0.69335,0.71501,0.71263,0.73734,0.77106,0.85501,0.84533
"7923/213.1961mz/10.84min",0.86238,0.99933,0.94339,0.92592,0.91119,0.90305,0.88662,0.87673
"9121/391.0788mz/12.13min",0.86224,0.73512,0.71978,0.72399,0.7143,0.70651,0.71576,0.75338
"1888/169.0583mz/1.51min",0.86172,0.70255,0.67439,0.67226,0.70099,0.68963,0.68334,0.67632
"15393/471.2353mz/23.85min",0.86126,0.84636,0.85055,0.84209,0.82869,0.8309,0.82332,0.82186
"5297/286.1396mz/6.14min",0.86014,0.82087,0.82862,0.82179,0.80955,0.79724,0.78261,0.77568
"4519/203.0549mz/4.08min",0.85946,0.68903,0.68361,0.6842,0.72838,0.72822,0.90731,0.91259
"12208/572.2945mz/15.93min",0.85905,1.4506,1.3771,1.4144,1.3987,1.3925,1.4441,1.4332
"14059/218.1539mz/19.20min",0.85836,0.95231,0.8996,0.91615,0.90335,0.89256,0.87834,0.86847
"5916/235.1441mz/8.24min",0.85819,1.3472,1.4164,1.4075,1.4118,1.3882,1.3783,1.3611
"15141/217.1585mz/23.12min",0.85755,1.0572,1.1179,1.0963,1.0825,1.0678,1.0528,1.0389
