"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"14987/294.2425mz/22.74min",2.7701,2.2195,2.0879,2.0574,2.0222,1.9932,1.9648,1.9388
"14831/280.2634mz/22.16min",2.7642,2.22,2.0875,2.0473,2.0214,1.9873,1.9511,1.9317
"4026/140.1071mz/3.07min",2.7593,2.2673,2.1552,2.1138,2.0876,2.0588,2.0244,2.0052
"6115/216.0866mz/8.68min",2.7445,2.2643,2.1286,2.0884,2.0605,2.0466,2.0284,2.0021
"6328/283.1288mz/9.02min",2.738,2.2585,2.1244,2.0837,2.0583,2.0237,1.9932,1.967
"6482/358.2067mz/9.24min",2.7283,2.2323,2.0991,2.0594,2.0235,1.9937,1.9598,1.9406
"7440/202.1073mz/10.33min",2.7181,2.2132,2.0808,2.0411,2.0079,1.9738,1.9573,1.9313
"4154/140.1068mz/3.29min",2.7168,2.2245,2.1123,2.0723,2.0462,2.0426,2.0069,1.9906
"15585/483.3344mz/24.34min",2.7091,2.1974,2.0664,2.0336,1.9984,1.9682,1.9343,1.9091
"11025/568.8532mz/14.14min",2.7042,2.2129,2.0946,2.0548,2.0209,1.9946,1.9591,1.9332
"11856/550.3457mz/15.46min",2.7013,2.166,2.0364,1.9997,1.9664,1.9445,1.9094,1.8933
"2149/158.1175mz/1.62min",2.6998,2.2583,2.1232,2.0821,2.046,2.0475,2.0333,2.0107
"15125/296.2580mz/22.95min",2.6992,2.1874,2.0593,2.0239,1.9899,1.9649,1.9618,1.9402
"7439/373.1390mz/10.35min",2.6974,2.2089,2.0799,2.0474,2.0144,2.0562,2.0214,1.9952
"7121/156.1018mz/10.03min",2.6957,2.2254,2.0934,2.0535,2.0232,2.018,1.9846,1.9588
"14553/278.2475mz/21.04min",2.6954,2.1713,2.0413,2.0017,1.97,1.9459,1.9119,1.895
"5149/216.0865mz/5.76min",2.69,2.2552,2.1414,2.1,2.0734,2.0397,2.0101,1.9866
"6417/114.0914mz/9.21min",2.6897,2.1632,2.0354,2.0024,1.9688,1.938,1.9202,1.8951
"4607/126.0549mz/4.30min",2.6845,2.1618,2.0334,1.998,1.9644,1.9406,1.9154,1.8903
"10288/426.1391mz/13.38min",2.6823,2.1937,2.0846,2.0442,2.024,2.0074,1.9716,1.9472
"11150/498.2693mz/14.30min",2.6805,2.1623,2.0508,2.0176,1.9828,1.9555,1.9248,1.9005
"10445/448.1806mz/13.56min",2.6798,2.1935,2.0653,2.0294,2.0039,1.9806,1.9516,1.9258
"6473/350.0654mz/9.26min",2.6792,2.2188,2.0859,2.0461,2.0103,1.9811,1.947,1.9228
"11122/590.8667mz/14.25min",2.679,2.1681,2.0462,2.0073,1.9728,1.94,1.9067,1.8814
"10550/795.3268mz/13.60min",2.677,2.1743,2.0541,2.0143,1.9961,1.9698,1.9356,1.9126
"4372/140.1070mz/3.71min",2.6754,2.1764,2.0544,2.0146,1.9877,1.9688,1.9408,1.9236
"14551/476.2641mz/21.01min",2.6658,2.2255,2.1121,2.0799,2.0436,2.0114,1.9749,1.9511
"14818/280.2631mz/22.12min",2.6644,2.1449,2.0175,1.9783,1.947,1.9181,1.8842,1.8693
"14545/432.2376mz/21.01min",2.6592,2.1523,2.0309,1.9927,1.9579,1.9272,1.8974,1.8725
"8420/281.1596mz/11.41min",2.6586,2.1378,2.0097,1.9708,1.9414,1.9299,1.8951,1.8744
"10475/425.0842mz/13.57min",2.6564,2.1774,2.0482,2.0085,1.9896,1.9649,1.9324,1.907
