"Filename",M5C.mzXML,M5A.mzXML,M1A.mzXML,M1C.mzXML,M2C.mzXML,M3C.mzXML,M1B.mzXML,M5B.mzXML,M3A.mzXML,M2A.mzXML,M3B.mzXML,M2B.mzXML,M4C.mzXML,M4B.mzXML,M4A.mzXML,M7A.mzXML,M6C.mzXML,M6A.mzXML,M8B.mzXML,M7B.mzXML,M8C.mzXML,M6B.mzXML,M8A.mzXML,M7C.mzXML
Treatment,CTRLavNHP,CTRLavNHP,CTRLssNHP,CTRLssNHP,UGTssNHP,EXL4ssNHP,CTRLssNHP,CTRLavNHP,EXL4ssNHP,UGTssNHP,EXL4ssNHP,UGTssNHP,BOTHssNHP,BOTHssNHP,BOTHssNHP,EXL4avNHP,UGTavNHP,UGTavNHP,BOTHavNHP,EXL4avNHP,BOTHavNHP,UGTavNHP,BOTHavNHP,EXL4avNHP
697/279.0991mz/0.17min,1326.8751220703125,1332.8465576171875,1051.057373046875,1361.85498046875,985.5595703125,980.017333984375,1304.8743896484375,1319.0654296875,1035.6597900390625,1406.6729736328125,1305.893310546875,1302.631591796875,1330.057373046875,1324.07373046875,1360.063232421875,1369.318603515625,1321.13916015625,1312.5638427734375,1108.3919677734375,1365.083740234375,1393.3946533203125,1285.0855712890625,1553.356201171875,1346.4906005859375
719/301.1771mz/0.18min,3.7795839309692383,10.742862701416016,0.4180014133453369,1.02743661403656,95.67523193359375,163.11477661132812,2.255300521850586,7.120919704437256,1.1669178009033203,0.3604162335395813,106.89984893798828,7.4045538902282715,559.7723388671875,287.910888671875,12.01984977722168,0.38966596126556396,0.9296365976333618,0.5692487955093384,6.459209442138672,23.992666244506836,5.851099967956543,2.861665725708008,2.0941977500915527,27.394756317138672
792/185.0420mz/0.21min,532.1788940429688,565.1526489257812,393.7436828613281,399.15228271484375,434.6001892089844,113.75374603271484,403.8235168457031,549.9234619140625,493.41864013671875,152.32960510253906,453.5332336425781,447.7094421386719,513.6368408203125,493.0465393066406,183.5092010498047,672.7499389648438,669.427978515625,716.7300415039062,188.4127655029297,713.8243408203125,147.41900634765625,583.23046875,264.66754150390625,814.1475219726562
780/201.0082mz/0.26min,1340.3798828125,1578.9033203125,1756.5943603515625,1489.807373046875,1442.888427734375,1420.514404296875,1441.215576171875,1393.6595458984375,1561.726806640625,1604.533935546875,1426.4578857421875,1497.7041015625,1407.2236328125,1401.86279296875,1546.248046875,1614.897705078125,1431.1556396484375,1538.6024169921875,1537.708740234375,1561.32763671875,1448.2401123046875,1441.76611328125,1559.43115234375,1334.888427734375
785/155.0027mz/0.26min,491.9541320800781,559.7852172851562,626.9368896484375,539.6687622070312,550.6264038085938,562.7427368164062,563.5487060546875,542.9274291992188,576.1209106445312,642.910888671875,563.7313842773438,514.4432373046875,547.6919555664062,562.8305053710938,578.1726684570312,593.6243286132812,516.0740356445312,565.0762329101562,600.6348266601562,564.556640625,580.2488403320312,577.4223022460938,501.4847412109375,561.2279052734375
787/185.9847mz/0.26min,638.3624877929688,718.3370361328125,936.30810546875,659.2642822265625,650.2471923828125,809.3829345703125,684.1879272460938,720.0374755859375,708.8359375,713.5498657226562,685.0768432617188,625.5072631835938,636.8961791992188,784.8621215820312,789.66455078125,676.634521484375,770.9852905273438,723.2846069335938,778.91650390625,658.7833862304688,783.9896850585938,640.1612548828125,828.0472412109375,620.5022583007812
789/141.9586mz/0.27min,1016.9384155273438,952.6380615234375,1361.484619140625,907.3648681640625,995.7611694335938,1027.69482421875,890.4471435546875,1023.0650634765625,1106.6312255859375,1047.230224609375,1017.7161254882812,965.5728759765625,1106.7481689453125,1222.0059814453125,995.9780883789062,933.945068359375,894.2509155273438,958.2456665039062,1027.5762939453125,1056.2447509765625,1184.6541748046875,1413.6341552734375,1170.26708984375,827.7820434570312
813/141.9586mz/0.34min,590.6676635742188,644.3909301757812,667.3535766601562,603.2815551757812,641.1989135742188,585.8770751953125,613.4003295898438,602.1921997070312,619.1131591796875,628.7266845703125,610.072998046875,581.0606689453125,566.7415771484375,593.0252075195312,653.8409423828125,695.1730346679688,562.026123046875,592.0469360351562,595.4741821289062,599.3036499023438,596.6627197265625,566.41357421875,633.6492919921875,187.95208740234375
804/243.9663mz/0.41min,212.00131225585938,104.60887145996094,181.6354217529297,131.76724243164062,152.24368286132812,201.42218017578125,164.77894592285156,237.1038055419922,215.5937042236328,196.4471435546875,186.19522094726562,138.1287384033203,222.70855712890625,147.66249084472656,253.28831481933594,382.3009033203125,325.9440002441406,290.16534423828125,54.84513473510742,289.54168701171875,32.49644088745117,270.2401123046875,40.6900749206543,325.1174011230469
